GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime,PartitionKey,RowKey
120,"Texas Eastern Transmission, LP",1200079140,,0079140,79140,,LATERAL 10-T - DYNEGY FAYETTE - MAINLINE,,,STA,,2,PA,FAYETTE,,2026-03-23T09:37:47.898642,Enbridge,1200079140
120,"Texas Eastern Transmission, LP",1200070524,,0070524,70524,,"Atmos Energy - Amory, MS",,,LDC,,1,MS,MONROE,,2026-03-23T09:37:47.898642,Enbridge,1200070524
105,"East Tennessee Natural Gas, LLC",1050059187,,0059187,59187,,HAWKINS CO. #2,,,LDC,,,TN,HAWKINS,,2026-03-23T09:37:47.898642,Enbridge,1050059187
120,"Texas Eastern Transmission, LP",1200070034,,0070034,70034,,"Philadelphia Gas Works - Levick St., PA",,,LDC,,3,PA,MONTGOMERY,,2026-03-23T09:37:47.898642,Enbridge,1200070034
120,"Texas Eastern Transmission, LP",1200071455,,0071455,71455,,"UGI CENTRAL - Huntingdon Gas - Mapleton, PA",,,LDC,,3,PA,HUNTINGDON,,2026-03-23T09:37:47.898642,Enbridge,1200071455
120,"Texas Eastern Transmission, LP",1200079962,,0079962,79962,,CEDAR BAYOU MAINLINE HEAD OF LATERAL ACCOUNTING POINT,,,END,,STX,TX,CHAMBERS,,2026-03-23T09:37:47.898642,Enbridge,1200079962
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4SF1,,00N4SF1,N4SF1,,(VEC) ANR,,,STA,,M2,IN,LAKE,,2026-03-23T09:37:47.898642,Enbridge,11500N4SF1
120,"Texas Eastern Transmission, LP",1200070953,,0070953,70953,,"New Jersey Natural - Freehold, NJ",,,LDC,,3,NJ,MIDDLESEX,,2026-03-23T09:37:47.898642,Enbridge,1200070953
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1006,,00N1006,N1006,,Nexus/Aspire Energy - Litchfield,,,INT,,M1,OH,MEDINA,,2026-03-23T09:37:47.898642,Enbridge,11500N1006
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4MA1,,00N4MA1,N4MA1,,(VEC) PEOPLES SMITH ROAD,,,STA,,M2,IL,WILL,,2026-03-23T09:37:47.898642,Enbridge,11500N4MA1
120,"Texas Eastern Transmission, LP",1200071862,,0071862,71862,,"Britanco, LLC - #1D Goree, Bee Co., TX",,,WHD,,STX,TX,BEE,,2026-03-23T09:37:47.898642,Enbridge,1200071862
100,"Algonquin Gas Transmission, LLC",1000000842,,0000842,842,,"Rhode Island Energy-Crary Street-Providence, RI",,,LDC,,,RI,PROVIDENCE,,2026-03-23T09:37:47.898642,Enbridge,1000000842
120,"Texas Eastern Transmission, LP",1200073732,,0073732,73732,,"Blue Racer Midstream-Berne, Monroe Co.,OH",,,WHD,,2,OH,MONROE,,2026-03-23T09:37:47.898642,Enbridge,1200073732
109,"Mississippi Canyon Gas Pipeline, LLC",10900M8022,,00M8022,M8022,,MARS PLATFORM (R-M0022 D-M0024),,,WHD,,,OF,WEST DELTA 143,,2026-03-23T09:37:47.898642,Enbridge,10900M8022
120,"Texas Eastern Transmission, LP",1200075043,,0075043,75043,,"ANR - ST. LANDRY PA., LA - (D72043/R76043)",,,INT,,WLA,LA,ST LANDRY,,2026-03-23T09:37:47.898642,Enbridge,1200075043
