GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime
120,"Texas Eastern Transmission, LP",1200071430,"",0071430,71430,"","United Cities -Nolensville, TN","","",LDC,"",1,TN,WILLIAMSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072185,"",0072185,72185,"",Dewbre Petroleum/Allen East A,"","",WHD,"",STX,TX,KLEBERG,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070322,"",0070322,70322,"","UGI UTIL (Columbia Gas) - Reading, PA","","",LDC,"",3,PA,BERKS,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071455,"",0071455,71455,"","UGI CENTRAL - Huntingdon Gas - Mapleton, PA","","",LDC,"",3,PA,HUNTINGDON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073874,"",0073874,73874,"","Eureka Hunter/Krebs Ridge Road, Monroe Co., OH","","",WHD,"",2,OH,MONROE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073168,"",0073168,73168,"","Willamette Industries -  Bienville Parish, LA","","",END,"",ETX,LA,BIENVILLE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073131,"",0073131,73131,"","Delta Nat Gas - Madison Co, KY","","",END,"",2,KY,MADISON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079997,"",0079997,79997,"",NEXUS FUEL TRACKING- DTI-ARMAN HILL,"","","","","","","","",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079545,"",0079545,79545,"","M1/M2 30"" ZONE BOUNDARY POINT","","",STA,"",ZB,TN,CLAY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070316,"",0070316,70316,"","Hartsville Gas - Trousdale, TN","","",LDC,"",1,TN,TROUSDALE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073304,"",0073304,73304,"","Alleghney Energy, Chambersburg-Franklin Co., PA (Del)","","",END,"",3,PA,FRANKLIN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070521,"",0070521,70521,"","Duke Energy Ohio, Inc. Dicks Creek","","",LDC,"",2,OH,BUTLER,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071076,"",0071076,71076,"","New Jersey Natural - Hanover, NJ","","",LDC,"",3,NJ,MORRIS,"",2026-03-23T09:41:40.296409
